,School_ID,School_Code,School Name_x,Cohort,Subgroup,Students,Grads,Rate,Governance,Unnamed: 8,Unnamed: 9,Unnamed: 10,Test Name,Subject,School Name_y,Learning Network,Grade,Category,"Number
Tested",Below Basic Count #,Below Basic Percent %,Basic Count #,Basic Percent %,Proficient Count #,Proficient Basic Percent %,Advanced Count #,Advanced Percent %,Prof and Adv Count #,Prof and Adv. Percent %,Average Score,Average Score2
75,105,105,PAUL ROBESON HIGH SCHOOL FOR HUMAN SERVICES,2013-2014,Not IEP,61,58,95%,District,,,,Keystone,Math,Paul Robeson High School for Human Services,NEIGHBORHOOD NETWORK 2,11,Not IEP,61,8,13%,40,66%,13,21%,0,0%,13,21%,0.520491803,2.08196719
76,105,105,PAUL ROBESON HIGH SCHOOL FOR HUMAN SERVICES,2013-2014,Not IEP,61,58,95%,District,,,,Keystone,Science,Paul Robeson High School for Human Services,NEIGHBORHOOD NETWORK 2,11,IEP,10,6,60%,1,10%,3,30%,0,0%,3,30%,0.425,1.700000063
77,105,105,PAUL ROBESON HIGH SCHOOL FOR HUMAN SERVICES,2013-2014,Not IEP,61,58,95%,District,,,,Keystone,Science,Paul Robeson High School for Human Services,NEIGHBORHOOD NETWORK 2,11,Not IEP,61,16,26%,25,41%,19,31%,1,2%,20,33%,0.520491803,2.08196713
78,105,105,PAUL ROBESON HIGH SCHOOL FOR HUMAN SERVICES,2013-2014,Not IEP,61,58,95%,District,,,,Keystone,Literature,Paul Robeson High School for Human Services,NEIGHBORHOOD NETWORK 2,11,IEP,10,5,50%,2,20%,3,30%,0,0%,3,30%,0.45,1.800000042
79,105,105,PAUL ROBESON HIGH SCHOOL FOR HUMAN SERVICES,2013-2014,Not IEP,61,58,95%,District,,,,Keystone,Literature,Paul Robeson High School for Human Services,NEIGHBORHOOD NETWORK 2,11,Not IEP,60,1,2%,26,43%,33,55%,0,0%,33,55%,0.633333333,2.533333378
80,110,110,WILLIAM L. SAYRE HIGH SCHOOL,2013-2014,IEP,40,16,40%,District,,,,Keystone,Math,William L. Sayre High School,NEIGHBORHOOD NETWORK 2,11,IEP,15,11,73%,4,27%,0,0%,0,0%,0,0%,0.316666667,1.26666671
81,110,110,WILLIAM L. SAYRE HIGH SCHOOL,2013-2014,IEP,40,16,40%,District,,,,Keystone,Math,William L. Sayre High School,NEIGHBORHOOD NETWORK 2,11,Not IEP,60,30,50%,27,45%,2,3%,1,2%,3,5%,0.391666667,1.566666652
82,110,110,WILLIAM L. SAYRE HIGH SCHOOL,2013-2014,IEP,40,16,40%,District,,,,Keystone,Science,William L. Sayre High School,NEIGHBORHOOD NETWORK 2,11,IEP,9,s,s,s,s,s,s,s,s,s,s,#VALUE!,#VALUE!
83,110,110,WILLIAM L. SAYRE HIGH SCHOOL,2013-2014,IEP,40,16,40%,District,,,,Keystone,Science,William L. Sayre High School,NEIGHBORHOOD NETWORK 2,11,Not IEP,56,s,s,s,s,s,s,s,s,s,s,#VALUE!,#VALUE!
84,110,110,WILLIAM L. SAYRE HIGH SCHOOL,2013-2014,IEP,40,16,40%,District,,,,Keystone,Literature,William L. Sayre High School,NEIGHBORHOOD NETWORK 2,11,IEP,12,12,100%,0,0%,0,0%,0,0%,0,0%,0.25,1
